OID_,Log_ID_txt,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,10792428,1,18615.000000000000000,78.382164156220810,20.280000686645508,37.950000762939453,17.670000076293945,27.080715013863117,5.974675734670636,504107.509983061929233,25.200000762939453,35.580001831054688
2,2331257,2,18622.000000000000000,78.411639050074882,21.309999465942383,42.049999237060547,20.739999771118164,31.621833844287845,6.730943482626307,588861.789848328218795,29.389999389648438,41.029998779296875
3,10862876,3,18632.000000000000000,78.453746041294977,21.149999618530273,42.819999694824219,21.670000076293945,29.212266003947281,6.652512375666378,544282.940185545710847,26.680000305175781,39.360000610351562
4,10862886,4,18611.000000000000000,78.365321359732761,20.440000534057617,25.610000610351562,5.170000076293945,21.446773416626588,1.037393526508156,399145.900056837417651,20.969999313354492,23.219999313354492
5,10862878,5,18633.000000000000000,78.457956740416989,20.360000610351562,37.849998474121094,17.489997863769531,24.018374391513863,4.053529899616345,447534.370037077809684,22.040000915527344,30.819999694824219
6,10360382,6,18620.000000000000000,78.403217651830857,20.950000762939453,28.559999465942383,7.609998703002930,22.703406551803607,1.507957408083081,422737.429994583129883,22.290000915527344,25.170000076293945
7,10360378,7,18614.000000000000000,78.377953457098798,22.530000686645508,37.610000610351562,15.079999923706055,27.640235845750979,3.448943200647259,514495.350032808724791,27.049999237060547,32.587000656127941
8,10524511,8,18629.000000000000000,78.441113943928954,21.120000839233398,42.950000762939453,21.829999923706055,28.135109244878112,5.856521188548019,524128.950122834357899,27.739999771118164,38.299999237060547
9,10360379,9,18615.000000000000000,78.382164156220810,21.000000000000000,40.750000000000000,19.750000000000000,27.843262417240123,5.136583915435918,518302.329896924900822,26.500000000000000,36.020000457763672
10,10862908,10,18620.000000000000000,78.403217651830857,20.579999923706055,44.330001831054688,23.750001907348633,30.091654132695464,5.537389791079126,560306.599950789590366,29.360000610351562,38.560001373291016
11,10862923,11,18627.000000000000000,78.432692545684930,21.750000000000000,42.080001831054688,20.330001831054688,32.804988450676603,6.394756259437583,611058.519870753050782,33.810001373291016,40.610000610351562
12,2331280a,12,18617.000000000000000,78.390585554464820,22.520000457763672,43.110000610351562,20.590000152587891,33.585423530861107,5.068246688846370,625259.829874041257426,34.130001068115234,40.139999389648438
13,10862915,16,18612.000000000000000,78.369532058854773,20.110000610351562,31.229999542236328,11.119998931884766,22.481293244385480,2.023097004219150,418421.829864502535202,21.850000381469727,25.139999389648438
14,10862879,17,18617.000000000000000,78.390585554464820,19.889999389648438,37.049999237060547,17.159999847412109,22.979017560845808,2.783702220000448,427800.369930266402662,22.190000534057617,26.840000152587891
15,10862875a,18,18625.000000000000000,78.424271147440905,21.739999771118164,40.919998168945312,19.179998397827148,25.946459062204994,3.847827823098463,483252.800033567997161,24.709999084472656,31.850000381469727
16,10872720,19,18630.000000000000000,78.445324643050952,21.809999465942383,32.560001373291016,10.750001907348633,25.455701020630332,1.948429560443469,474239.710014343087096,25.200000762939453,27.979999542236328
17,10862894,20,18632.000000000000000,78.453746041294977,19.600000381469727,29.290000915527344,9.690000534057617,22.244962975721904,2.381337186130418,414468.150163650512695,21.329999923706055,26.180000305175781
